29	9
8	34
23	7
3	3
7	8
0	26
20	5
14	26
16	26
31	25
13	14
0	7
0	2
23	37
14	15
8	40
14	7
4	0
26	39
4	0
17	1
0	1
34	1
0	37
15	39
3	13
43	3
25	31
0	23
25	32
8	25
1	15
1	19
7	31
38	41
7	3
19	31
0	7
13	1
48	8
1	0
0	43
25	45
19	13
37	1
32	13
25	47
7	28
26	2
8	13
2	22
3	26
7	31
39	5
33	2
3	46
16	10
25	13
20	29
30	0
25	34
27	3
25	26
25	22
3	2
7	26
13	37
1	17
25	13
10	37
7	44
7	22
28	30
39	33
8	10
13	26
37	31
1	13
22	1
0	25
1	0
29	4
2	33
13	19
29	7
23	38
10	8
5	34
2	26
43	7
2	9
13	8
4	0
6	33
1	7
25	7
10	0
25	36
2	5
1	13
